Model,Run,Hyperparameters,F1_Score,AUC,Accuracy
decision_tree,1,"{'max_depth': 3, 'min_samples_split': 2}",0.0,0.7765069866086759,0.8606709239987386
decision_tree,2,"{'max_depth': 3, 'min_samples_split': 5}",0.0,0.7765069866086759,0.8606709239987386
decision_tree,3,"{'max_depth': 3, 'min_samples_split': 10}",0.0,0.7765069866086759,0.8606709239987386
decision_tree,4,"{'max_depth': 5, 'min_samples_split': 2}",0.21133371493989697,0.8024425656300691,0.8642187007253233
decision_tree,5,"{'max_depth': 5, 'min_samples_split': 5}",0.21133371493989697,0.8024425656300691,0.8642187007253233
decision_tree,6,"{'max_depth': 5, 'min_samples_split': 10}",0.21133371493989697,0.8024425656300691,0.8642187007253233
decision_tree,7,"{'max_depth': 10, 'min_samples_split': 2}",0.24654874892148404,0.8076497687719248,0.8623068432671082
decision_tree,8,"{'max_depth': 10, 'min_samples_split': 5}",0.24619700075520554,0.8075800287210116,0.862287133396405
decision_tree,9,"{'max_depth': 10, 'min_samples_split': 10}",0.24560267616272796,0.8075437146529262,0.8622082939135919
knn,1,"{'max_iter': 1000, 'C': 1.0, 'n_neighbors': 3}",0.2935811098798056,0.6831419998177218,0.8366643014821823
knn,2,"{'max_iter': 1000, 'C': 1.0, 'n_neighbors': 5}",0.2815750371471025,0.7236250100641592,0.847524440239672
knn,3,"{'max_iter': 1000, 'C': 1.0, 'n_neighbors': 9}",0.25198130461288354,0.7572000589098122,0.8548959318826869
logistic_regression,1,"{'max_iter': 1000, 'C': 0.1}",0.24247020585048754,0.8191638843833806,0.8621885840428887
logistic_regression,2,"{'max_iter': 1000, 'C': 1.0}",0.24239142207299902,0.819162935186543,0.8621294544307789
logistic_regression,3,"{'max_iter': 1000, 'C': 10.0}",0.24239142207299902,0.8191630453322511,0.8621294544307789
logistic_regression,4,"{'max_iter': 2000, 'C': 0.1}",0.24247020585048754,0.8191638843833806,0.8621885840428887
logistic_regression,5,"{'max_iter': 2000, 'C': 1.0}",0.24239142207299902,0.819162935186543,0.8621294544307789
logistic_regression,6,"{'max_iter': 2000, 'C': 10.0}",0.24239142207299902,0.8191630453322511,0.8621294544307789
logistic_regression,7,"{'max_iter': 3000, 'C': 0.1}",0.24247020585048754,0.8191638843833806,0.8621885840428887
logistic_regression,8,"{'max_iter': 3000, 'C': 1.0}",0.24239142207299902,0.819162935186543,0.8621294544307789
logistic_regression,9,"{'max_iter': 3000, 'C': 10.0}",0.24239142207299902,0.8191630453322511,0.8621294544307789
svm,1,"{'kernel': 'rbf', 'C': 0.01}",0.12352201257861635,0.8192241340857094,0.8626616209397666
svm,2,"{'kernel': 'rbf', 'C': 0.1}",0.12352201257861635,0.8192306100054294,0.8626616209397666
svm,3,"{'kernel': 'rbf', 'C': 1.0}",0.12352201257861635,0.8192314004628639,0.8626616209397666
